,headlines,raw_links
0,Moderna looks to scale back COVID vaccine manufacturing: report,https://www.fiercepharma.com/pharma/moderna-looks-scale-back-manufacturing-covid-booster-cope-falling-demand-reuters
1,CDC starts push to reverse falling flu vaccine use in key groups, https://www.fiercepharma.com/pharma/cdc-starts-wild-mild-campaign-reverse-falling-flu-vaccine-use-key-groups
2,Japan awarded $115M to Arcturus JV to boost mRNA manufacturing, https://www.fiercepharma.com/manufacturing/japan-awards-115m-arcturus-jv-boost-mrna-manufacturing
3,"BioNTech, Twitter warned for trying to duck vaccine debate", https://www.fiercepharma.com/marketing/biontech-and-x-warned-pr-body-trying-duck-covid-19-vaccine-debate
4,AstraZeneca signs mRNA manufacturing deal with China's CanSino, https://www.fiercepharma.com/manufacturing/astrazeneca-commits-mrna-signs-vaccine-manufacturing-deal-chinas-cansino
5,BioNTech 'carefully watching' costs as COVID vaccine sales sink, https://www.fiercepharma.com/pharma/echoing-pfizer-biontech-carefully-watching-cost-amid-declining-covid-vaccine-sales
6,UPDATED: Takeda yanks FDA application for dengue vaccine Qdenga, https://www.fiercepharma.com/pharma/takeda-yanks-fda-application-dengue-vaccine-citing-data-collection-disagreement
7,Canada pays Novavax $350M for canceled COVID shot orders, https://www.fiercepharma.com/manufacturing/novavax-receive-350m-canada-canceled-covid-vaccine-orders
8,"Fingerpaint buys MYND for market access skills, vaccine pedigree", https://www.fiercepharma.com/marketing/fingerprint-spying-growing-vaccine-market-buys-mynd-expand-market-access-capabilities
9,Sanofi begins construction of another flu vaccine plant, https://www.fiercepharma.com/manufacturing/sanofi-barda-break-ground-another-flu-shot-plant-swiftwater-pa-campus
10,Pfizer wants payment from EU for undelivered vaccine doses: FT, https://www.fiercepharma.com/pharma/pfizer-adjusts-eu-vaccine-deal-still-wants-payment-undelivered-doses-ft
11,Pfizer enlists yet another celeb for its latest COVID vaccine ad, https://www.fiercepharma.com/marketing/pfizer-targeting-younger-demographic-enlists-yet-another-celeb-its-latest-covid-vaccine
12,NYT sues EC for failing to reveal texts with Pfizer CEO Bourla, https://www.fiercepharma.com/pharma/new-york-times-sues-ec-over-failure-reveal-text-messages-pfizer-ceo-bourla
13,"JPM: GSK's Miels talks RSV and mRNA vaccines, oncology setbacks", https://www.fiercepharma.com/pharma/jpm23-conversation-gsks-luke-miels-rsv-and-mrna-vaccines-blenrep-and-zejula-withdrawals-plus
14,2022 drug approvals: Biopharma delivered 37 new drugs, https://www.fiercepharma.com/special-reports/2022-drug-approvals-after-aduhelm-fiasco-fda-endorsements-were-harder-come
15,"Vaccine patch passes clinical test, supporting further trials", https://www.fiercepharma.com/pharma/vaxess-flu-vaccine-patch-passes-early-clinical-test-clearing-path-further-development
16,Vaxxas raises $23M to fund needle-free COVID-19 vaccine trial, https://www.fiercepharma.com/pharma/vaxxas-raises-23m-fund-needle-free-covid-19-vaccine-trial
17,LTS Lohmann leads investment in needle-free delivery specialist, https://www.fiercepharma.com/pharma/lts-lohmann-leads-investment-needle-free-delivery-specialist
18,Moderna pads the case for its bivalent COVID-19 booster, https://www.fiercepharma.com/pharma/modernas-omicron-busting-covid-19-booster-holds-its-own-against-latest-variant-bq11
19,Novartis sells Singapore plant to BioNTech for vax production, https://www.fiercepharma.com/manufacturing/biontech-acquires-novartis-plant-singapore-will-retrofit-mrna-vaccine-production
20,Healthcare Twitter influencers beam over Pfizer's RSV shot data, https://www.fiercepharma.com/marketing/healthcare-twitter-influencers-beam-over-pfizers-rsv-shot-data
